Count,Hate Speech,Offensive Language,Neither Count,Class,Tweet
3,0,0,3,2,"Another major development in the Jihadi circles: Al Maqdisi, hardcore jihadi theorist asks specifically for relief &amp; aid workers&#8217; release"
3,0,0,3,2,Another season of retweeting every one of @nikaaaa3 's Yankee tweets! &#128514;&#128514;&#128514;&#128514;
3,0,3,0,1,Another woman ain't gon keep me coming. Girl these hoes ain't got nothing on ya
3,0,3,0,1,Any bitch who show up Friday looking like the bitch from the ring I'm punching straight in the face.
3,1,2,0,1,"Any dope nigga or pretty chick is gon have people wantin their attention.. Y'all gotta grow up with that ""you got hoes"" shit.."
3,1,2,0,1,"Any man even considering plastic surgery is gay gay gay imagine ya boy say ""I'd get more hoes then u after I get these new lips"" &#128514;&#128514;&#128514;"
3,0,2,1,1,Any nicca gettin it n da ass is a fag! &#8220;@CruellaDeTrill: Howw? Please explain this twitter logic. I'm confused. &#128553; @Im_Yung_Jay @YuTwatching&#8221;
3,0,3,0,1,Any person that puts anybody else's business out there for whatever reason is a bitch.
6,0,6,0,1,Any pregnant bitches at centreville I should know about in about to move there next ... &#8212; Idk.. I dont go to cville http://t.co/Hq4Q6zfwjh
3,0,3,0,1,Any pussy I had I can get again!
3,0,3,0,1,Any where the $$$ at is where the pussy go...
3,0,0,3,2,Anyone want some absolutely amazing and deliciously fresh perfect monkey bread? &#128586;&#128584;
3,0,2,1,1,"Anyone want to share their thoughts on their mock draft?? Just kidding. SHUT YOUR FILTHY DAMNED MOUTH, YOU CLODS."
3,3,0,0,0,Anyone who came to the US as an indentured servant is white trash.
3,0,3,0,1,Anytime somebody say u wan hear a funny that shit gon be trash..
6,3,1,2,0,Apaches' 30 MM rounds turn Jihadis into tomato soup @MarkRothschild1 @Rockprincess818 @NoFear3136 @Lanna70115
3,0,3,0,1,"Apologizing in advance for my actions, I'm thee biggest bitch when I'm studying &#128522;&#128299;"
3,0,0,3,2,"Apolonia Gardner of Imperial, CA misspells ""phalarope"" - a bird that resembles a sandpiper. The dreaded schwa! #spellingbee"
3,0,0,3,2,"Apparently I got chunky for my bday. Worse bday present ever. Lol. 
#diettime"
3,0,1,2,2,Apparently im a honky. Pfft. Like that's a bad thing.
3,1,2,0,1,Apparently not wanting to trade your Nitro M4 in CSGO makes you a collossal faggot.
3,0,3,0,1,"Apparently, saying something nice to someone these days means you're trying to stick them with your poker. Get over yourselves bitches."
3,0,0,3,2,Apple need to add some colored emoji
3,0,3,0,1,"Apple sauce, bitch."
3,0,0,3,2,Appropriately this guy wears the WV yellow Rick James on his face. @BarkingCarnival http://t.co/SGb9rYvdmb
3,0,3,0,1,Are pet guinea pig is about to die this fucking blows :/
3,0,0,3,2,Are poor little guinea pig died :(
3,0,3,0,1,Are you nigguhs saying you want Donald trump as prez? That nigguh don't understand real american struggles &#128514;
3,0,3,0,1,Are you single but your pussy is in a relationship?
3,0,0,3,2,"Are you tired of the ""mock drafts""? Let's just do this: If Clowney is not the 1st pick, who thinks Round 1 becomes ""chaos""? #ShowOfHands"
3,1,0,2,2,Aren't these little border jumpers supposed to be in school
3,0,2,1,1,Argue to make up. Not to break up &amp; get back together that's retarded in my eyes
3,0,3,0,1,Arguing over a bitch with a glued on butt
3,0,3,0,1,Arod like ugly bitches that like to fuck
3,0,0,3,2,Arroz con pollo
3,0,2,1,1,Arturo keeps calling me ghetto &#128532;
3,0,1,2,2,"As Chanice say that, I realize the coons move from drinking Moet to Belaire. All yuh feel all yuh so fancy with all yuh $30 champagne eh"
3,0,3,0,1,"As I tweeted before any man telling me to go to the kitchen this season could tell his mom that, father probably wouldn't of left..bitch"
6,0,6,0,1,"As a girlfriend I'm NEVER getting close to my boyfriend friends , cause they can be telling me one thing , and telling these hoes another."
9,0,9,0,1,"As a girlfriend, you gotta accept the fact hoes gone be all up in his face. But as a boyfriend, he better let them hoes know wassup."
3,0,3,0,1,As a man ... I feel like you a bitch if you living off a female . Havin her buy all yo shit fucc that never be dependent on someone
3,2,0,1,0,As always Eli has the stupid hick hayseed look on his face Giants fans kill yaselves it's gonna be a&#8230; http://t.co/JcYZzMKCfu
3,1,2,0,1,As good as Percy Harvin and Peyton on the same team sound&#8230; That&#8217;s so retarded lmao
3,0,3,0,1,As if it WASNT gon get Bacc to me &#128514;&#128557; bitch your outta your fuccing mind
3,0,3,0,1,As long as you gon feed me pussy when I get the munchies &#128586;
3,1,2,0,1,As of today im cutting muthafuckas off bitches/niggas that never show love or just temporary people iont need um
3,0,0,3,2,As soon as a Democrat gets a chance to ? the political hack #foxnews goes to commercial then back with Bolton LMAO #teabaggers #benghazi
3,0,3,0,1,As soon as a bitch think shit sweet.... Give em wat they been asking for!
3,0,3,0,1,As soon as bitches get on a come up you got that one bitch that CANT Wait to tell ppl your downfall before the come up &#128528;&#128528;. #Haters
3,2,1,0,0,As soon as we left Iraq all these towel heads think they can fucking barge in and take over what we worked so hard to set up. Pisses me off.
3,0,3,0,1,Asha had a little voice in my head telling me to fuck with these hoes. Wasn't kendra &#128524;
3,0,3,0,1,Asha my bitch doe &#128553;&#128076;
3,0,3,0,1,Ask a bitch in 2014 if she would rather have JESUS than silver &amp; gold I bet u she tell a lie.
3,0,3,0,1,Ask around n the streets bitch bout Jay
3,0,1,2,2,Ask the governor how we are supposed to pay for this? Typical #teabagger mentality. Government is EVIL until we need them LOL #morningjoe
3,0,3,0,1,Ask tht bitch when she gon let a yung nigga blast tht ass
3,0,3,0,1,Ask your bitch about me she turns into dori. &#128032;
3,0,3,0,1,"At 6'0? Good luck Nh nh RT @UnnagroundKing: I'm 6'0, 150. One of you bitches better reproduce with me. I can give you an athlete."
3,0,3,0,1,At Dunkin donuts and every time somebody walked in I either yelled ratchet or hoe and so me and my brother got kicked out &#128514;&#128514;&#128514;
3,0,0,3,2,At a point where I've got to make a tough life decision. Ice black translucent sole or solid black sole on my KD VI's. Blk or orange airbag
3,0,0,3,2,At all my ritz crackers. Idk what to do with myself anymore.
3,0,3,0,1,At least ima a faithful bitch &#128524;
3,0,0,3,2,At pussy cat lounge killin it with my girlz @blaqdior and @hpmiss
6,0,6,0,1,At the MLK march tryna find a man bitch we see U
3,0,3,0,1,At the Mexican laundry mat and it's PACKED denna hoe
3,0,3,0,1,"At the bar in downey wit my uncle, this niggah faded hopefully he doesnt get us into a fight lmao"
3,0,3,0,1,At the doctors with sam shes such a pussy the had to put a cotton swab in her nose and she just about started to cry -_- @SamRomero95
3,0,3,0,1,At the end of the day seniors still love that young fresh pussy from west case closed
6,0,0,6,2,"At this rate, I'd cheer for the awful New York Yankees over the St. Louis Cardinals."
3,0,0,3,2,"At work but wish I was floating in my 15 ft., on sale at Walmart, redneck pool that my husband probably hasn't cleaned since last weekend."
3,0,0,3,2,Ate the receivers really fast or is pass coverage trash?
3,1,2,0,1,Attention one and all. @JordanWright23 just motoroboated my knees. Someone get this jiggaboo some water. She #thirsty.
3,1,2,0,1,Auburnnn hoe
3,0,3,0,1,Audio: Happy Valentines Day bitches. &#160;Now play this while you get laid. http://t.co/x70OTlH3
3,0,2,1,1,August alsina : ghetto &#128158;
3,0,3,0,1,Austin is a funny niggah
3,0,3,0,1,"Autocorrect makes my ""how's life"" change to hoes life. What the duck."
3,0,0,3,2,Average is basic and basic is trash &#128514;&#128514;
3,0,3,0,1,"Aw man, that bitch she go hard.. Put it on me I'm like ""Oh Lord""... No panties, baby, no bra !"
3,0,3,0,1,"Awe did I cut you off and make you mad? That's too dam bad, shoulda been going the fucking speed limit bitch"
3,2,1,0,0,Awk... U don't like your own nephew / cousins bc our race.. LMAO broke ugly bitches fuck them we don't need them
3,0,3,0,1,Awwwwww RT @Tyga: That ain't my hoe.
3,0,3,0,1,Awwwwww they no Kaep ain't rape no bitch!!!!
3,0,3,0,1,Ay cuh its HOT AF . Im finna go buy yo bitch some ice cream . Lol
3,0,3,0,1,"Ay fuck wieners, remember to eat before you drink and remember to drink water while you're drinking and also to go eat shit you pussy head."
3,0,0,3,2,Ay what are some good bars/clubs to hit up in Denver?? Should be up there Saturday night to coon out.
3,0,3,0,1,Ay yall heard that Rich Gang tape thou?? That bitch on Flame!!!&#128293;
3,0,1,2,2,Aye a nicca is tired tho!
3,0,3,0,1,Aye it's a lot of niggas out here that can't fuck a bad bitch unless they get her drunk smh #Preach
3,0,3,0,1,Aye my NIGHA #YeaYouReadinDis... Gone let ya bitch fuck wit my team @TwinzNControl donjuuuan&#8230; http://t.co/qloMazph9A
6,0,6,0,1,Aye the part be treating the bitches too good &#128514;
3,0,3,0,1,Aye we all needa keep are heads up high who cares if we lost we all went and tried our best &amp;south is a bunch of trash talking pussys ! -.-
3,0,3,0,1,"Aye, Mcdonald'ss got a fire ass frozen strawberry lemonade.. This bitch so wet"
3,0,3,0,1,Ayee hoe
3,0,1,2,2,Ayo I jus had a mini heart attack behind the wheel..north Philly n fire crackers don't mix&#128553;&#128553;&#128514;&#128514; I&#8230; http://t.co/o5v2E4LFtm
3,0,2,1,1,Ayo twat boy I gotta new phone give me yo jack now @Jay050709
3,0,3,0,1,Ayo why da hell ain't nobody hip me to these niccas! @MigosATL ... #BetterLateThanNever
6,1,4,1,1,Ayo!! @theofficialeg10 unblock me so i ca tell you how garbage yo bitch ass playing....
3,2,1,0,0,Ayy Carlton is a ghetto school now #SwitchedAtBirth
3,1,2,0,1,"Ayy yo @Ray_Lakee my nigga @who__CHRISJONES be all up on da,pussy not lettin dat muafucka breathe."
3,0,0,3,2,Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.
3,1,0,2,2,"BASICALLY, #GOP, #ROMNEY, right wing reactionaries, drudgies, teabaggers, libertaritards, all hate our education system and teachers."
3,1,2,0,1,BC y'all hoes
3,0,3,0,1,"BF: I think we need some pet insurance. GF: LMAO, why, what for? BF: Because I'm destroying your pussy everyday."
3,0,3,0,1,BITCH!!! RT @jla_b: Stop thinking ur entitled to politically correct responses...bitch
3,0,2,1,1,BREATHE! RT @thaELLEword_: You are going to kill yourself if you don't EXHALE! RT @BrokeHomieLyn: Killin you hoes http://t.co/QZc87drA9a&#8221;
3,0,3,0,1,"BROS BEFORE HOS! ... and there I was with my bros, without any hos.."
3,0,3,0,1,"BRUH lmaoo &#8220;@NoBeeetch: Them hoes was nasty but I kept eating them ""@roblockk: What the fuck happened to these? http://t.co/G9w10SmQdr""&#8221;"
6,1,5,0,1,BRUH!! RT @coldhearted9_: Them ugly hoes say a nigga arrogant...
3,0,3,0,1,Baby I can make that pussy raaain OFTEN.
3,0,3,0,1,"Baby I can make that pussy rain, often"
3,0,3,0,1,Baby I can make that pussy rain... Often
3,1,0,2,2,"Baby I'll whisper Vietnamese to you all soft like, ""ching... chong ting o long...."""
6,0,6,0,1,Baby girl your pussy looking so vacant....
3,0,3,0,1,"Baby moanin , got me zone'nn &#128553; I want this bitch next me , pussy like ecstasy &#128166; ."
3,0,3,0,1,Baby pussy cant be your only hustle. Unless u bad as Naomi Russell.I mean a lot of ppl got money.So basically Russell aint the only Russell
3,0,3,0,1,Babydaddy needing bail money say thats wat she gone do talk a whole alotta shit but swear that bitch gone come through
3,0,3,0,1,Back #InHighSchool me and @NTGOnline used to have to stiff-arm bitches that kept tryna steal our fitteds
3,0,3,0,1,"Back in America, and I've become a basic bitch again."
3,0,3,0,1,Back in this bitch again....
3,0,3,0,1,Backdoor is open: them hoes will let you fuck em in the ass. Usually an extra charge plus the rate you agreed upon.
3,0,3,0,1,Bad Asian bitch yea she look just like Kemora
3,1,2,0,1,Bad bitch contest you in first place &#128175; http://t.co/c1cPZMzEQR
3,0,3,0,1,"Bad bitch give good head, dumb bitch get hood rich"
3,0,3,0,1,Bad bitch good head I think she ah keeper !
3,0,3,0,1,Bad bitch http://t.co/XSpkccaypi
6,0,6,0,1,Bad bitch on my line tryna give me brains
3,0,3,0,1,Bad bitch pussy aquafina call her Crystalina
3,0,3,0,1,Bad bitch selling molly I might take one
6,0,5,1,1,Bad bitch with me and you kno that her ass is fat
9,0,9,0,1,"Bad bitch, chest out......no wonder why Miss Righteous keeps on getting left out"
6,0,6,0,1,Bad bitches ain't cheap
3,0,3,0,1,Bad bitches aint cheap better pass her if u broke !!
6,0,6,0,1,Bad bitches an good weed
3,0,3,0,1,Bad bitches and good weed
3,0,3,0,1,Bad bitches be all ova me .. Besides pussy what could you offer me?! &#128175;&#10006;&#65039;&#128175;
3,0,3,0,1,Bad bitches every where
3,0,3,0,1,"Bad bitches from Oakland, she could beeee a model"
3,0,3,0,1,Bad bitches hate broke niggaz.
3,0,3,0,1,Bad bitches in dirty ass houses &lt;&lt;&lt;
3,0,3,0,1,Bad bitches in the pen make my toes curl
3,0,3,0,1,Bad bitches is the only thing I like
3,0,3,0,1,Bad bitches is the only thing that I like
3,0,3,0,1,Bad bitches is the only thing that I like!!!!!! #BBLU this Saturday #BBLU #SuedeLounge #RICHGIRLS
6,0,6,0,1,Bad bitches is the only thing that i like
3,0,3,0,1,Bad bitches is the only thing that like
3,0,3,0,1,Bad bitches only
3,0,3,0,1,Bad bitches only ... http://t.co/ceyb1b3rF0
3,0,3,0,1,Bad blood in the camp &amp; if it's bout a bitch just know I don't respect it homie
3,0,3,0,1,"Bad chicks send em in.. Basic hoes toss em out, can't even get Waffle House.. Hating niggas chalk em out gone get the coffin out"
6,0,6,0,1,Bad foreign bitch she a walkin Ferrari
3,0,3,0,1,Bad lil bitch ain't never seen her
3,0,3,0,1,Bad lil short fine bitch lil petite sumn
3,0,2,1,1,Bae gotta bitch &#128514; whoops &#128564;
3,0,3,0,1,Bae juss the new side bitch lingo u aint special hoe
3,0,2,1,1,Bae made me deep fried Oreos &#128523;
3,0,0,3,2,Bags Bags that's that bag money trash bag black and it's filled up with money
3,0,3,0,1,Bahaha omg &#128518;&#128557;&#128586; this bitch is crazyyy . http://t.co/HFkTledkpa
3,0,0,3,2,"Baked Montreal chicken, cheesy brussels sprouts, garlic butter triple cheddar &amp; chives yellow mashed&#8230; http://t.co/XsGW1kSqCW"
3,2,1,0,0,Bald head bitches think it's their time to prosper !
3,0,3,0,1,Ball is life? No bitch bench is life &#128075;
3,0,3,0,1,"Bands will make her dance , stamps will make her twerk , If Romney becomes president , these hoes will have to work."
3,0,3,0,1,"Bang, bitch, you think I'm strange, bitch? It's bananas like a fucking rangatang bitch

#vote5sos
#EMABiggestFans1D"
3,0,0,3,2,"Bank robber who wore zebra-print dress arrested, police say http://t.co/UUQ0bw6vju"
3,0,1,2,2,Barkley is trash
3,0,1,2,2,"Barry's (whitey) brownshirts run wild in Oakland. Following the lead of N.W.A., punks chant F the police. http://t.co/9nBUrmTJ"
3,0,3,0,1,"Barry's hoe Michelle is walking in now. Ugly beast she is.
#SOTU"
3,0,0,3,2,Baseball isn't the same without the Yankees in the playoffs &amp; basketball isn't the same without the Lakers in em.
3,0,0,3,2,Baseball......... w/ @voxpulchra for her birthday for some reason? Lol (@ Yankee Stadium) on #Yelp http://t.co/9hIFDcZWQY
3,0,3,0,1,Basic bitch no chill &#128514;
3,0,3,0,1,Basic bitches &amp; lame niggas &lt;
3,0,3,0,1,Basic bitches everywhere
3,0,2,1,1,Basic niggah in his basic clothing
3,0,2,1,1,Basically saying that the pound doesn't belong to us and it's English... Greedy cunts
3,0,2,1,1,"Basically, so...just do you. *shrugs* RT @CruzanChoklate: So if you're worried about being a ho or looking like one, good luck."
3,0,0,3,2,Bathing Sphere: Suspended Orb Tub Not for Shy People http://t.co/OHv7xbr6wo #bathing #design #weird and yet #cool
3,0,3,0,1,Bbl gonna go sob over gay bird babies.
3,0,3,0,1,Bc I got too many bitches &#128514;&#128514;&#128514;
3,0,3,0,1,Be a dog to these bitches bt be a KING TO YA QUEEN '
3,0,3,0,1,"Be a girl with a mind, a bitch with an attitude and a lady with class."
3,0,0,3,2,"Be fearful of the wrath of God in a country where many mock Christianity, embrace perversion, abortion, and bows to PC/multiculturalism."
3,1,2,0,1,Be mean or rude to my little sister again and I'll kick your ass. It applies to all of you little snooty bitches. K thanks.
3,1,2,0,1,Be my backbone every nicca need a spine
3,0,3,0,1,Be trippin when I call you hoe but bitch you know I talk like Dat! -- @1future voice
3,0,0,3,2,Beans that were yellow before Friday night are brown now-a few green leaves curled-frost but not freeze-bean size reduced - top end shrinks
3,0,3,0,1,"Bears game today bitches! Not to mention, lean and bud before the train ride lol :) #Goodday"
3,1,2,0,1,Beat the pussy down like my nemesis
3,0,3,0,1,Beat the pussy in so well her shit still hurting from a week ago
3,1,2,0,1,Beat ya bitch pussy up every time I see her like a bully .. Then send her outta town wit 4 cookies
3,0,0,3,2,Beautiful Fairy Elegant Dress http://t.co/ouxWbYTUt6
3,0,3,0,1,Because I had to accept being called a bitch every time I asserted myself. #YesAllWomen
3,1,2,0,1,"Because I'd rather wear my hair long and have piercings, I'm a faggot that will never go anywhere in life."
3,1,2,0,1,Because a nigguh but don't mean you're pussy is bomb
3,0,3,0,1,"Because at your local insurance agency, the customer is ALWAYS our bitch. #itakeshitfromnoone &#128079;"
3,0,3,0,1,Because idk if your still tryna get with her again or not?... &#8212; bitch i might be http://t.co/FPJQpcH99K
3,0,0,3,2,"Because if nobody was judging the birds, this account wouldn't even cause a ripple in d ocean"
3,0,2,1,1,Because of the message that sends to LGBTQ residents in the state. Not as if West Virginia is a paradise for queer people. Today is major.
3,0,3,0,1,Beefin ova bitches trade ya clip for Pom Poms
3,0,1,2,2,Been Huntin hard and finally nailed her. Best wedding koozie I've ever seen. #redneck http://t.co/D6SBSYaNN2
3,1,2,0,1,Been a trill nicca since a Lil nicca
3,0,3,0,1,"Been a while since it's just been me solo at the crib, feeling kinda lonely like a hoe"
3,0,3,0,1,Been hooping all day tired than bitch
3,0,3,0,1,Been schooling these bitches since 92'&#128524;
3,0,3,0,1,"Been sleeping toooooo much, fuck it ima enjoy it before i start working 2 jobs like a hoe haha"
3,0,3,0,1,"Been told by a lot of people that I'm cool then a hoe, and that they don't understand why someone wouldn't like me"
3,0,3,0,1,Beer ball isn't for pussies
3,0,3,0,1,Before I let a pussy cut my hair I just will let it grow
3,0,3,0,1,Before the madness with my single bitches. &#128527; http://t.co/FLDe7S4SLC
3,0,2,1,1,"Behind every independent woman, is a pack of hating hoes"
3,0,3,0,1,"Being a girl sucks. We have to deal with periods making us a bitch, shaving our legs on a daily basis, and worrying about what we eat."
3,0,3,0,1,Being a hoe ain't cute #ijs
3,0,3,0,1,Being a hoe is cute in 2014
3,0,3,0,1,Being a sober soul just wasnt interesting.. bitch im living #5spmg #GGL http://t.co/W58Q6Hr20j
3,1,0,2,2,"Being coons &#8220;@FatTravis_6200: At??? @TiFFANY_P0RSCHE: Y'all are amazing.""&#8221;"
3,0,3,0,1,Being single and not texting no bitches late night almost wacker than coming home after the club drunk and fuckin your girlfriend
3,0,3,0,1,Believe in the heart of the cards bitch.
3,0,3,0,1,Believe it or not hoes get boring after awhile
3,0,3,0,1,Ben will gett ya some pussy.. ben will get ya some head!
3,1,0,2,2,Bengals kicker trash.
6,1,5,0,1,Benzino is a bitch point blank period
3,0,3,0,1,"Besides my sisters, this is one of two bitches you will always catch me with. http://t.co/FXZyCvvnPq"
3,0,0,3,2,Best behaved kids ever at mommy's commercial audition. Oreo McFlurries for everybody! #proudmom&#8230; http://t.co/9HFNSmaLcU
3,0,0,3,2,Best of luck to Tino 'The Bambino' Martinez in Miami (your legacy is saved LOL) #Marlins #Yankees #RedSox #MLB
3,0,1,2,2,Best rider? That goes to a blaxican.
3,0,0,3,2,Bet Charlie Strong has contacted Ridley
3,1,0,2,2,"Bet they want a cookie, Bergbrain? You mean like you want a cracker? Kinda bitter here today aren'tcha? #stribpol mngop #mnleg"
3,0,3,0,1,Bet you ain't gone @ em tho..&#128564;&#128514; RT @_SelfMadePhat_: Na why OOMF just tweeted that ?&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; &amp; she know ha pussy WACK
3,0,3,0,1,Betta ask round these streets bitch bout Jay
3,1,2,0,1,Better keep ya shit n line nicca ...
3,0,3,0,1,Better nip that shit in the bud early.
3,0,3,0,1,Better play your part bitch don't be a smart bitch cuz I might have a change of heart
3,0,3,0,1,Between the constant tweegrams and the bad bitches playing themselves out for attention and the stupid caption pics instagram lost me.
3,2,1,0,0,Between this trend and the vines acting like women its like niggas couldn't wait to be faggots http://t.co/dKVnjmCarZ
3,1,2,0,1,Beyonc&#233; more of a hipster bitch wit no hips these days
6,1,4,1,1,Big G-Day s/o to @MauricePrice17 #FreeBoosie nicca lol!!!!!
3,0,1,2,2,Big Red and fat squaw ...lol my hubby is so funny!! #insidejoke
3,0,0,3,2,"Big Squawk: Q: when will DFL dump Ryan ""Uncle Tom"" Winkler? 
} Not going to happen Berg
Bleat on.
#mngop proud #stribpol #mnleg"
3,0,0,3,2,"Big bird holds press conf claims ""he does not care for the letter f"""
3,0,3,0,1,Big bitches be like &#8221; Im Thick&#8221; yea bitch atound the midsection
3,0,3,0,1,Big black bitches out here arguing
6,0,6,0,1,"Big boobs = no ass No ass = big boobs Big boobs and big ass = ugly face Big boobs , big ass , pretty face = hoe."
