Count,Hate Speech,Offensive Language,Neither Count,Class,Tweet,preprocessed_tweet,final_text
3,0,3,0,1,and girl that pussy aint shit to me baby girl roll up and get high,"['girl', 'pussy', 'aint', 'shit', 'baby', 'girl', 'roll', 'get', 'high']",girl pussy aint shit baby girl roll get high
3,0,3,0,1,and ha bitch break down my weed sometimes,"['ha', 'bitch', 'break', 'weed', 'sometimes']",ha bitch break weed sometimes
3,0,3,0,1,and here standing in the red corner johnmayer weighing lbs the pussy destroying champion of the world adam nobodyknowshisrace smith,"['standing', 'red', 'corner', 'johnmayer', 'weighing', 'lb', 'pussy', 'destroying', 'champion', 'world', 'adam', 'nobodyknowshisrace', 'smith']",standing red corner johnmayer weighing lb pussy destroying champion world adam nobodyknowshisrace smith
3,0,3,0,1,and honestly im a social hoe ill talk to any and everybody nowhere in there did i said fuck suck and trap,"['honestly', 'im', 'social', 'hoe', 'ill', 'talk', 'everybody', 'nowhere', 'said', 'fuck', 'suck', 'trap']",honestly im social hoe ill talk everybody nowhere said fuck suck trap
3,1,2,0,1,and i aint neva gave a fucc about a bitch boy,"['aint', 'neva', 'gave', 'fucc', 'bitch', 'boy']",aint neva gave fucc bitch boy
3,0,3,0,1,and i didnt wanna come off as a bitch so i took another hit now i think im feeling to high,"['didnt', 'wan', 'na', 'come', 'bitch', 'took', 'another', 'hit', 'think', 'im', 'feeling', 'high']",didnt wan na come bitch took another hit think im feeling high
3,0,3,0,1,and if u aint a ho get up out my trap houuuse,"['u', 'aint', 'ho', 'get', 'trap', 'houuuse']",u aint ho get trap houuuse
3,0,3,0,1,and if yu ever need a shoulder to cry on i wont be there cus im on my fuck that bitch shit,"['yu', 'ever', 'need', 'shoulder', 'cry', 'wont', 'cu', 'im', 'fuck', 'bitch', 'shit']",yu ever need shoulder cry wont cu im fuck bitch shit
3,0,3,0,1,and ima dream about  fat bitches stuck in a mini van on a hot summer day,"['ima', 'dream', 'fat', 'bitch', 'stuck', 'mini', 'van', 'hot', 'summer', 'day']",ima dream fat bitch stuck mini van hot summer day
3,0,3,0,1,and its always the black bitches thats constantly late af for no reason couldnt refuse the ladies in free til  amp  shots,"['always', 'black', 'bitch', 'thats', 'constantly', 'late', 'af', 'reason', 'couldnt', 'refuse', 'lady', 'free', 'til', 'amp', 'shot']",always black bitch thats constantly late af reason couldnt refuse lady free til amp shot
6,0,1,5,2,and its gotta be some ghetto fool,"['got', 'ta', 'ghetto', 'fool']",got ta ghetto fool
3,0,3,0,1,and just like me that bitch loaded,"['like', 'bitch', 'loaded']",like bitch loaded
3,0,3,0,1,and little bitch ass triggaplease,"['little', 'bitch', 'as', 'triggaplease']",little bitch as triggaplease
3,0,3,0,1,and mad hoes you can ask beavis i get nothing butthead,"['mad', 'hoe', 'ask', 'beavis', 'get', 'nothing', 'butthead']",mad hoe ask beavis get nothing butthead
3,0,3,0,1,and my bitch gon blast and she got the ass like httptcoyzjvcunf,"['bitch', 'gon', 'blast', 'got', 'as', 'like', 'httptcoyzjvcunf']",bitch gon blast got as like httptcoyzjvcunf
3,0,3,0,1,and my mom was really getting me a car smh hoe f u for dat,"['mom', 'really', 'getting', 'car', 'smh', 'hoe', 'f', 'u', 'dat']",mom really getting car smh hoe f u dat
6,0,6,0,1,and niccas are  hot if they paid  bucks for that payperview,"['niccas', 'hot', 'paid', 'buck', 'payperview']",niccas hot paid buck payperview
3,0,0,3,2,and now jihadis bragging about a massive bombing in sadr city in baghdad iraq onslaught,"['jihadis', 'bragging', 'massive', 'bombing', 'sadr', 'city', 'baghdad', 'iraq', 'onslaught']",jihadis bragging massive bombing sadr city baghdad iraq onslaught
3,1,2,0,1,and now lookin ass niggas and lookin ass bitches will be the terms of  will be overused amp abused in every fucking way,"['lookin', 'as', 'nigga', 'lookin', 'as', 'bitch', 'term', 'overused', 'amp', 'abused', 'every', 'fucking', 'way']",lookin as nigga lookin as bitch term overused amp abused every fucking way
3,0,1,2,2,and of course some rascally teabagger on the radio is blaming the  dead az firefighters on biggovernment oy vey tcot p teaparty,"['course', 'rascally', 'teabagger', 'radio', 'blaming', 'dead', 'az', 'firefighter', 'biggovernment', 'oy', 'vey', 'tcot', 'p', 'teaparty']",course rascally teabagger radio blaming dead az firefighter biggovernment oy vey tcot p teaparty
3,1,2,0,1,and rememberalways be the person youre born to be you dont have to be queer to take something from that message nationalcomingoutday,"['rememberalways', 'person', 'youre', 'born', 'dont', 'queer', 'take', 'something', 'message', 'nationalcomingoutday']",rememberalways person youre born dont queer take something message nationalcomingoutday
3,0,3,0,1,and since im gino marley my bitch just flew from japan,"['since', 'im', 'gino', 'marley', 'bitch', 'flew', 'japan']",since im gino marley bitch flew japan
3,0,3,0,1,and someone from my class is literally sitting across from me on the bus so i cant even call dad and bitch,"['someone', 'class', 'literally', 'sitting', 'across', 'bus', 'cant', 'even', 'call', 'dad', 'bitch']",someone class literally sitting across bus cant even call dad bitch
3,2,1,0,0,and the jew deuterostomes favorited my tweet though lol dont have anymore time for this trash,"['jew', 'deuterostomes', 'favorited', 'tweet', 'though', 'lol', 'dont', 'anymore', 'time', 'trash']",jew deuterostomes favorited tweet though lol dont anymore time trash
3,0,3,0,1,and them niggas pussiescameltoes,"['nigga', 'pussiescameltoes']",nigga pussiescameltoes
3,1,2,0,1,and these hoes aint as good as they looki need to take my own advice doee cause if that pusxy good then im good,"['hoe', 'aint', 'good', 'looki', 'need', 'take', 'advice', 'doee', 'cause', 'pusxy', 'good', 'im', 'good']",hoe aint good looki need take advice doee cause pusxy good im good
3,0,3,0,1,and vice versa rt kimchanel  he has hoes,"['vice', 'versa', 'rt', 'kimchanel', 'hoe']",vice versa rt kimchanel hoe
3,0,3,0,1,and weres bitch boy,"['weres', 'bitch', 'boy']",weres bitch boy
3,1,2,0,1,and when i say doh doh doh doh bitch that be kdot,"['say', 'doh', 'doh', 'doh', 'doh', 'bitch', 'kdot']",say doh doh doh doh bitch kdot
3,0,3,0,1,and when bitches be like me and him against the world bitch dont nobody even know yall together  nobody hating,"['bitch', 'like', 'world', 'bitch', 'dont', 'nobody', 'even', 'know', 'yall', 'together', 'nobody', 'hating']",bitch like world bitch dont nobody even know yall together nobody hating
3,0,0,3,2,and where do you think unsold items from thrift stores go the garbage think of all the great games that are in trash dumps as we speak,"['think', 'unsold', 'item', 'thrift', 'store', 'go', 'garbage', 'think', 'great', 'game', 'trash', 'dump', 'speak']",think unsold item thrift store go garbage think great game trash dump speak
3,0,3,0,1,and you a bitch even when you say you love me you a bitch i pray you crash like caroline into a ditch,"['bitch', 'even', 'say', 'love', 'bitch', 'pray', 'crash', 'like', 'caroline', 'ditch']",bitch even say love bitch pray crash like caroline ditch
3,1,2,0,1,and you adopted bitch i dont give a fuck what kind of mental illness they claimin imma kill ya,"['adopted', 'bitch', 'dont', 'give', 'fuck', 'kind', 'mental', 'illness', 'claimin', 'imma', 'kill', 'ya']",adopted bitch dont give fuck kind mental illness claimin imma kill ya
6,0,6,0,1,and you kno we the opposite of down bitch we up httptcoqkfywnfzqu,"['kno', 'opposite', 'bitch', 'httptcoqkfywnfzqu']",kno opposite bitch httptcoqkfywnfzqu
3,0,3,0,1,and youre a bitch rt fuckingpatbro thotcho youre a little fucking worm you know that,"['youre', 'bitch', 'rt', 'fuckingpatbro', 'thotcho', 'youre', 'little', 'fucking', 'worm', 'know']",youre bitch rt fuckingpatbro thotcho youre little fucking worm know
3,0,3,0,1,angel stop rting that fugly bitch,"['angel', 'stop', 'rting', 'fugly', 'bitch']",angel stop rting fugly bitch
3,0,0,3,2,anglosaxon mike oz,"['anglosaxon', 'mike', 'oz']",anglosaxon mike oz
3,2,1,0,0,ankles sainafaal martianmulah hood bitches with long weave is the worst thing ever weave that be touching their ashy ankles,"['ankle', 'sainafaal', 'martianmulah', 'hood', 'bitch', 'long', 'weave', 'worst', 'thing', 'ever', 'weave', 'touching', 'ashy', 'ankle']",ankle sainafaal martianmulah hood bitch long weave worst thing ever weave touching ashy ankle
3,0,3,0,1,annie you crazy hoe,"['annie', 'crazy', 'hoe']",annie crazy hoe
3,1,2,0,1,annnnd youre a dyke,"['annnnd', 'youre', 'dyke']",annnnd youre dyke
3,0,0,3,2,annoying yelling bint next door has locked herself out,"['annoying', 'yelling', 'bint', 'next', 'door', 'locked']",annoying yelling bint next door locked
3,0,3,0,1,another bad bitch fuck her for a hour another cigarette another nut another shower,"['another', 'bad', 'bitch', 'fuck', 'hour', 'another', 'cigarette', 'another', 'nut', 'another', 'shower']",another bad bitch fuck hour another cigarette another nut another shower
3,0,3,0,1,another high point was a hungarian calling me cheat fuck and cheat pussy for doing well,"['another', 'high', 'point', 'hungarian', 'calling', 'cheat', 'fuck', 'cheat', 'pussy', 'well']",another high point hungarian calling cheat fuck cheat pussy well
3,1,2,0,1,another long mornin smhthank god a nicca out here to see it tho real shit,"['another', 'long', 'mornin', 'smhthank', 'god', 'nicca', 'see', 'tho', 'real', 'shit']",another long mornin smhthank god nicca see tho real shit
3,0,0,3,2,another major development in the jihadi circles al maqdisi hardcore jihadi theorist asks specifically for relief amp aid workers release,"['another', 'major', 'development', 'jihadi', 'circle', 'al', 'maqdisi', 'hardcore', 'jihadi', 'theorist', 'asks', 'specifically', 'relief', 'amp', 'aid', 'worker', 'release']",another major development jihadi circle al maqdisi hardcore jihadi theorist asks specifically relief amp aid worker release
3,0,0,3,2,another season of retweeting every one of nikaaaa s yankee tweets,"['another', 'season', 'retweeting', 'every', 'one', 'nikaaaa', 'yankee', 'tweet']",another season retweeting every one nikaaaa yankee tweet
3,0,3,0,1,another woman aint gon keep me coming girl these hoes aint got nothing on ya,"['another', 'woman', 'aint', 'gon', 'keep', 'coming', 'girl', 'hoe', 'aint', 'got', 'nothing', 'ya']",another woman aint gon keep coming girl hoe aint got nothing ya
3,0,3,0,1,any bitch who show up friday looking like the bitch from the ring im punching straight in the face,"['bitch', 'show', 'friday', 'looking', 'like', 'bitch', 'ring', 'im', 'punching', 'straight', 'face']",bitch show friday looking like bitch ring im punching straight face
3,1,2,0,1,any dope nigga or pretty chick is gon have people wantin their attention yall gotta grow up with that you got hoes shit,"['dope', 'nigga', 'pretty', 'chick', 'gon', 'people', 'wantin', 'attention', 'yall', 'got', 'ta', 'grow', 'got', 'hoe', 'shit']",dope nigga pretty chick gon people wantin attention yall got ta grow got hoe shit
3,1,2,0,1,any man even considering plastic surgery is gay gay gay imagine ya boy say id get more hoes then u after i get these new lips,"['man', 'even', 'considering', 'plastic', 'surgery', 'gay', 'gay', 'gay', 'imagine', 'ya', 'boy', 'say', 'id', 'get', 'hoe', 'u', 'get', 'new', 'lip']",man even considering plastic surgery gay gay gay imagine ya boy say id get hoe u get new lip
3,0,2,1,1,any nicca gettin it n da ass is a fag cruelladetrill howw please explain this twitter logic im confused  imyungjay yutwatching,"['nicca', 'gettin', 'n', 'da', 'as', 'fag', 'cruelladetrill', 'howw', 'please', 'explain', 'twitter', 'logic', 'im', 'confused', 'imyungjay', 'yutwatching']",nicca gettin n da as fag cruelladetrill howw please explain twitter logic im confused imyungjay yutwatching
3,0,3,0,1,any person that puts anybody elses business out there for whatever reason is a bitch,"['person', 'put', 'anybody', 'el', 'business', 'whatever', 'reason', 'bitch']",person put anybody el business whatever reason bitch
6,0,6,0,1,any pregnant bitches at centreville i should know about in about to move there next   idk i dont go to cville httptcohqqzfwjh,"['pregnant', 'bitch', 'centreville', 'know', 'move', 'next', 'idk', 'dont', 'go', 'cville', 'httptcohqqzfwjh']",pregnant bitch centreville know move next idk dont go cville httptcohqqzfwjh
3,0,3,0,1,any pussy i had i can get again,"['pussy', 'get']",pussy get
3,0,3,0,1,any where the  at is where the pussy go,"['pussy', 'go']",pussy go
3,0,0,3,2,anyone want some absolutely amazing and deliciously fresh perfect monkey bread,"['anyone', 'want', 'absolutely', 'amazing', 'deliciously', 'fresh', 'perfect', 'monkey', 'bread']",anyone want absolutely amazing deliciously fresh perfect monkey bread
3,0,2,1,1,anyone want to share their thoughts on their mock draft just kidding shut your filthy damned mouth you clods,"['anyone', 'want', 'share', 'thought', 'mock', 'draft', 'kidding', 'shut', 'filthy', 'damned', 'mouth', 'clod']",anyone want share thought mock draft kidding shut filthy damned mouth clod
3,3,0,0,0,anyone who came to the us as an indentured servant is white trash,"['anyone', 'came', 'u', 'indentured', 'servant', 'white', 'trash']",anyone came u indentured servant white trash
3,0,3,0,1,anytime somebody say u wan hear a funny that shit gon be trash,"['anytime', 'somebody', 'say', 'u', 'wan', 'hear', 'funny', 'shit', 'gon', 'trash']",anytime somebody say u wan hear funny shit gon trash
6,3,1,2,0,apaches  mm rounds turn jihadis into tomato soup markrothschild rockprincess nofear lanna,"['apache', 'mm', 'round', 'turn', 'jihadis', 'tomato', 'soup', 'markrothschild', 'rockprincess', 'nofear', 'lanna']",apache mm round turn jihadis tomato soup markrothschild rockprincess nofear lanna
3,0,3,0,1,apologizing in advance for my actions im thee biggest bitch when im studying,"['apologizing', 'advance', 'action', 'im', 'thee', 'biggest', 'bitch', 'im', 'studying']",apologizing advance action im thee biggest bitch im studying
3,0,0,3,2,apolonia gardner of imperial ca misspells phalarope  a bird that resembles a sandpiper the dreaded schwa spellingbee,"['apolonia', 'gardner', 'imperial', 'ca', 'misspells', 'phalarope', 'bird', 'resembles', 'sandpiper', 'dreaded', 'schwa', 'spellingbee']",apolonia gardner imperial ca misspells phalarope bird resembles sandpiper dreaded schwa spellingbee
3,0,0,3,2,"apparently i got chunky for my bday worse bday present ever lol 
diettime","['apparently', 'got', 'chunky', 'bday', 'worse', 'bday', 'present', 'ever', 'lol', 'diettime']",apparently got chunky bday worse bday present ever lol diettime
3,0,1,2,2,apparently im a honky pfft like thats a bad thing,"['apparently', 'im', 'honky', 'pfft', 'like', 'thats', 'bad', 'thing']",apparently im honky pfft like thats bad thing
3,1,2,0,1,apparently not wanting to trade your nitro m in csgo makes you a collossal faggot,"['apparently', 'wanting', 'trade', 'nitro', 'csgo', 'make', 'collossal', 'faggot']",apparently wanting trade nitro csgo make collossal faggot
3,0,3,0,1,apparently saying something nice to someone these days means youre trying to stick them with your poker get over yourselves bitches,"['apparently', 'saying', 'something', 'nice', 'someone', 'day', 'mean', 'youre', 'trying', 'stick', 'poker', 'get', 'bitch']",apparently saying something nice someone day mean youre trying stick poker get bitch
3,0,0,3,2,apple need to add some colored emoji,"['apple', 'need', 'add', 'colored', 'emoji']",apple need add colored emoji
3,0,3,0,1,apple sauce bitch,"['apple', 'sauce', 'bitch']",apple sauce bitch
3,0,0,3,2,appropriately this guy wears the wv yellow rick james on his face barkingcarnival httptcosgbryvdmb,"['appropriately', 'guy', 'wear', 'wv', 'yellow', 'rick', 'james', 'face', 'barkingcarnival', 'httptcosgbryvdmb']",appropriately guy wear wv yellow rick james face barkingcarnival httptcosgbryvdmb
3,0,3,0,1,are pet guinea pig is about to die this fucking blows,"['pet', 'guinea', 'pig', 'die', 'fucking', 'blow']",pet guinea pig die fucking blow
3,0,0,3,2,are poor little guinea pig died,"['poor', 'little', 'guinea', 'pig', 'died']",poor little guinea pig died
3,0,3,0,1,are you nigguhs saying you want donald trump as prez that nigguh dont understand real american struggles,"['nigguhs', 'saying', 'want', 'donald', 'trump', 'prez', 'nigguh', 'dont', 'understand', 'real', 'american', 'struggle']",nigguhs saying want donald trump prez nigguh dont understand real american struggle
3,0,3,0,1,are you single but your pussy is in a relationship,"['single', 'pussy', 'relationship']",single pussy relationship
3,0,0,3,2,are you tired of the mock drafts lets just do this if clowney is not the st pick who thinks round  becomes chaos showofhands,"['tired', 'mock', 'draft', 'let', 'clowney', 'st', 'pick', 'think', 'round', 'becomes', 'chaos', 'showofhands']",tired mock draft let clowney st pick think round becomes chaos showofhands
3,1,0,2,2,arent these little border jumpers supposed to be in school,"['arent', 'little', 'border', 'jumper', 'supposed', 'school']",arent little border jumper supposed school
3,0,2,1,1,argue to make up not to break up amp get back together thats retarded in my eyes,"['argue', 'make', 'break', 'amp', 'get', 'back', 'together', 'thats', 'retarded', 'eye']",argue make break amp get back together thats retarded eye
3,0,3,0,1,arguing over a bitch with a glued on butt,"['arguing', 'bitch', 'glued', 'butt']",arguing bitch glued butt
3,0,3,0,1,arod like ugly bitches that like to fuck,"['arod', 'like', 'ugly', 'bitch', 'like', 'fuck']",arod like ugly bitch like fuck
3,0,0,3,2,arroz con pollo,"['arroz', 'con', 'pollo']",arroz con pollo
3,0,2,1,1,arturo keeps calling me ghetto,"['arturo', 'keep', 'calling', 'ghetto']",arturo keep calling ghetto
3,0,1,2,2,as chanice say that i realize the coons move from drinking moet to belaire all yuh feel all yuh so fancy with all yuh  champagne eh,"['chanice', 'say', 'realize', 'coon', 'move', 'drinking', 'moet', 'belaire', 'yuh', 'feel', 'yuh', 'fancy', 'yuh', 'champagne', 'eh']",chanice say realize coon move drinking moet belaire yuh feel yuh fancy yuh champagne eh
3,0,3,0,1,as i tweeted before any man telling me to go to the kitchen this season could tell his mom that father probably wouldnt of leftbitch,"['tweeted', 'man', 'telling', 'go', 'kitchen', 'season', 'could', 'tell', 'mom', 'father', 'probably', 'wouldnt', 'leftbitch']",tweeted man telling go kitchen season could tell mom father probably wouldnt leftbitch
6,0,6,0,1,as a girlfriend im never getting close to my boyfriend friends  cause they can be telling me one thing  and telling these hoes another,"['girlfriend', 'im', 'never', 'getting', 'close', 'boyfriend', 'friend', 'cause', 'telling', 'one', 'thing', 'telling', 'hoe', 'another']",girlfriend im never getting close boyfriend friend cause telling one thing telling hoe another
9,0,9,0,1,as a girlfriend you gotta accept the fact hoes gone be all up in his face but as a boyfriend he better let them hoes know wassup,"['girlfriend', 'got', 'ta', 'accept', 'fact', 'hoe', 'gone', 'face', 'boyfriend', 'better', 'let', 'hoe', 'know', 'wassup']",girlfriend got ta accept fact hoe gone face boyfriend better let hoe know wassup
3,0,3,0,1,as a man  i feel like you a bitch if you living off a female  havin her buy all yo shit fucc that never be dependent on someone,"['man', 'feel', 'like', 'bitch', 'living', 'female', 'havin', 'buy', 'yo', 'shit', 'fucc', 'never', 'dependent', 'someone']",man feel like bitch living female havin buy yo shit fucc never dependent someone
3,2,0,1,0,as always eli has the stupid hick hayseed look on his face giants fans kill yaselves its gonna be a httptcojcyzzmkcfu,"['always', 'eli', 'stupid', 'hick', 'hayseed', 'look', 'face', 'giant', 'fan', 'kill', 'yaselves', 'gon', 'na', 'httptcojcyzzmkcfu']",always eli stupid hick hayseed look face giant fan kill yaselves gon na httptcojcyzzmkcfu
3,1,2,0,1,as good as percy harvin and peyton on the same team sound thats so retarded lmao,"['good', 'percy', 'harvin', 'peyton', 'team', 'sound', 'thats', 'retarded', 'lmao']",good percy harvin peyton team sound thats retarded lmao
3,0,3,0,1,as if it wasnt gon get bacc to me  bitch your outta your fuccing mind,"['wasnt', 'gon', 'get', 'bacc', 'bitch', 'outta', 'fuccing', 'mind']",wasnt gon get bacc bitch outta fuccing mind
3,0,3,0,1,as long as you gon feed me pussy when i get the munchies,"['long', 'gon', 'feed', 'pussy', 'get', 'munchies']",long gon feed pussy get munchies
3,1,2,0,1,as of today im cutting muthafuckas off bitchesniggas that never show love or just temporary people iont need um,"['today', 'im', 'cutting', 'muthafuckas', 'bitchesniggas', 'never', 'show', 'love', 'temporary', 'people', 'iont', 'need', 'um']",today im cutting muthafuckas bitchesniggas never show love temporary people iont need um
3,0,0,3,2,as soon as a democrat gets a chance to  the political hack foxnews goes to commercial then back with bolton lmao teabaggers benghazi,"['soon', 'democrat', 'get', 'chance', 'political', 'hack', 'foxnews', 'go', 'commercial', 'back', 'bolton', 'lmao', 'teabaggers', 'benghazi']",soon democrat get chance political hack foxnews go commercial back bolton lmao teabaggers benghazi
3,0,3,0,1,as soon as a bitch think shit sweet give em wat they been asking for,"['soon', 'bitch', 'think', 'shit', 'sweet', 'give', 'em', 'wat', 'asking']",soon bitch think shit sweet give em wat asking
3,0,3,0,1,as soon as bitches get on a come up you got that one bitch that cant wait to tell ppl your downfall before the come up  haters,"['soon', 'bitch', 'get', 'come', 'got', 'one', 'bitch', 'cant', 'wait', 'tell', 'ppl', 'downfall', 'come', 'hater']",soon bitch get come got one bitch cant wait tell ppl downfall come hater
3,2,1,0,0,as soon as we left iraq all these towel heads think they can fucking barge in and take over what we worked so hard to set up pisses me off,"['soon', 'left', 'iraq', 'towel', 'head', 'think', 'fucking', 'barge', 'take', 'worked', 'hard', 'set', 'piss']",soon left iraq towel head think fucking barge take worked hard set piss
3,0,3,0,1,asha had a little voice in my head telling me to fuck with these hoes wasnt kendra,"['asha', 'little', 'voice', 'head', 'telling', 'fuck', 'hoe', 'wasnt', 'kendra']",asha little voice head telling fuck hoe wasnt kendra
